,LEA_NAME,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,STUDENTS_IN_POVERTY,DISTRICT_POVERTY_RATE,AVG_SCHOOL_POVERTY_RATE
56,Evergreen School District (Clark),1947.0,1939.0,1926.0,2057.0,,,,7869.0,3608.0,0.4585080696403609,0.493101599847789
57,Federal Way School District,1625.0,1529.0,1598.0,1671.0,,,,6844.0,4114.0,0.6011104617182934,0.6189894825700429
58,Ferndale School District,321.0,343.0,340.0,338.0,,,,1344.0,554.0,0.41220238095238093,0.41220238095238093
59,Fife School District,,272.0,279.0,301.0,,,,852.0,370.0,0.43427230046948356,0.43427230046948356
60,Finley School District,71.0,80.0,64.0,86.0,,,,301.0,222.0,0.7375415282392026,0.7375415282392026
61,Franklin Pierce School District,639.0,550.0,488.0,488.0,,,,2165.0,1359.0,0.6277136258660508,0.6311375356239559
62,Freeman School District,71.0,77.0,71.0,94.0,,,,313.0,57.0,0.18210862619808307,0.18210862619808307
63,Goldendale School District,88.0,69.0,60.0,68.0,,,,285.0,150.0,0.5263157894736842,0.5263157894736842
64,Grand Coulee Dam School District,65.0,48.0,52.0,56.0,,,,340.0,233.0,0.6852941176470588,0.6852941176470588
65,Grandview School District,301.0,253.0,259.0,233.0,,,,1046.0,850.0,0.8126195028680688,0.8126195028680688
66,Granger School District,112.0,126.0,115.0,98.0,,,,451.0,382.0,0.8470066518847007,0.8470066518847007
67,Granite Falls School District,159.0,126.0,171.0,173.0,,,,629.0,261.0,0.4149443561208267,0.5032576712904582
68,Highland School District,97.0,91.0,99.0,73.0,,,,360.0,290.0,0.8055555555555556,0.8055555555555556
69,Highline School District,1364.0,1397.0,1328.0,1705.0,,,,5984.0,3820.0,0.6383689839572193,0.5814519455845155
70,Hockinson School District,167.0,165.0,169.0,159.0,,,,660.0,106.0,0.1606060606060606,0.1606060606060606
71,Hoquiam School District,118.0,115.0,108.0,106.0,,,,447.0,275.0,0.6152125279642058,0.6152125279642058
72,Issaquah School District,1627.0,1590.0,1572.0,1588.0,,,,6377.0,486.0,0.07621138466363493,0.0780665348850378
73,Kalama School District,87.0,84.0,76.0,85.0,,,,332.0,94.0,0.28313253012048195,0.28313253012048195
74,Kelso School District,303.0,337.0,312.0,333.0,,,,1285.0,730.0,0.5680933852140078,0.5680933852140078
75,Kennewick School District,1419.0,1324.0,1309.0,1348.0,,,,5408.0,2895.0,0.5353180473372781,0.5725351965410153
76,Kent School District,2001.0,1811.0,1971.0,2100.0,,,,7883.0,3779.0,0.4793860205505518,0.48387642858021906
77,Kettle Falls School District,189.0,185.0,132.0,123.0,,,,629.0,188.0,0.2988871224165342,0.3354175808102969
78,Kiona-Benton City School District,110.0,86.0,91.0,110.0,,,,399.0,274.0,0.6867167919799498,0.6867167919799498
79,Kittitas School District,58.0,52.0,51.0,73.0,,,,377.0,182.0,0.4827586206896552,0.4827586206896552
80,LUMMI HIGH SCHOOL,32.0,26.0,28.0,34.0,,,,120.0,120.0,1.0,1.0
81,La Center School District,125.0,126.0,133.0,117.0,,,,501.0,100.0,0.1996007984031936,0.1996007984031936
82,La Conner School District,50.0,52.0,65.0,68.0,,,,235.0,123.0,0.5234042553191489,0.5234042553191489
83,Lake Chelan School District,106.0,100.0,113.0,105.0,,,,424.0,232.0,0.5471698113207547,0.5471698113207547
84,Lake Stevens School District,,732.0,660.0,642.0,,,,2034.0,451.0,0.22173058013765978,0.22173058013765978
85,Lake Washington Institute of Technology,,1.0,37.0,687.0,,,,725.0,,,
86,Lake Washington School District,2269.0,2214.0,2107.0,2053.0,,,,8866.0,933.0,0.10523347620121813,0.09007238720671028
87,Lakewood School District,229.0,182.0,214.0,166.0,,,,791.0,279.0,0.3527180783817952,0.3527180783817952
88,Liberty School District,49.0,41.0,44.0,51.0,,,,185.0,57.0,0.3081081081081081,0.3081081081081081
89,Longview School District,507.0,460.0,432.0,477.0,,,,1876.0,1057.0,0.5634328358208955,0.6149034295887698
90,Lopez School District,17.0,19.0,17.0,9.0,,,,129.0,62.0,0.4806201550387597,0.4806201550387597
91,Lynden School District,249.0,234.0,250.0,253.0,,,,986.0,283.0,0.2870182555780933,0.2870182555780933
92,Mabton School District,70.0,54.0,69.0,48.0,,,,374.0,337.0,0.9010695187165776,0.9010695187165776
93,Manson School District,63.0,45.0,52.0,56.0,,,,216.0,138.0,0.6388888888888888,0.6388888888888888
94,Mary Walker School District,33.0,33.0,32.0,26.0,,,,124.0,98.0,0.7903225806451613,0.7903225806451613
95,Marysville School District,737.0,765.0,696.0,808.0,,,,3006.0,1309.0,0.43546240851630075,0.47115423924820726
96,Mead School District,848.0,814.0,845.0,851.0,,,,3358.0,616.0,0.18344252531268612,0.18400969010633464
97,Medical Lake School District,136.0,126.0,122.0,133.0,,,,517.0,166.0,0.32108317214700194,0.32108317214700194
98,Mercer Island School District,392.0,380.0,398.0,381.0,,,,1551.0,54.0,0.03481624758220503,0.03481624758220503
99,Meridian School District,138.0,113.0,107.0,99.0,,,,457.0,159.0,0.3479212253829322,0.3479212253829322
100,Methow Valley School District,39.0,49.0,46.0,37.0,,,,269.0,80.0,0.29739776951672864,0.29739776951672864
101,Monroe School District,378.0,412.0,402.0,884.0,,,,2076.0,549.0,0.26445086705202314,0.19963159493231816
102,Montesano School District,98.0,115.0,108.0,123.0,,,,692.0,230.0,0.33236994219653176,0.33236994219653176
103,Morton School District,20.0,28.0,28.0,27.0,,,,152.0,77.0,0.506578947368421,0.506578947368421
104,Moses Lake School District,642.0,651.0,597.0,709.0,,,,2599.0,1552.0,0.5971527510580993,0.6678896238114924
105,Mossyrock School District,47.0,43.0,33.0,27.0,,,,243.0,131.0,0.5390946502057613,0.5390946502057613
106,Mount Adams School District,65.0,56.0,59.0,59.0,,,,239.0,237.0,0.9916317991631799,0.9916317991631799
