,LEAID,LEA_NAME,SCH_NAME,STUDENTS_IN_POVERTY,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,POVERTY_RATE
52,5300960,CASHMERE SCHOOL DISTRICT,CASHMERE HIGH SCHOOL,189.0,128.0,112.0,115.0,130.0,,,,486.0,0.3888888888888889
53,5300990,Castle Rock School District,Castle Rock High School,218.0,121.0,111.0,96.0,109.0,,,,437.0,0.4988558352402746
54,5301080,Central Kitsap School District,Central Kitsap High School,195.0,399.0,427.0,331.0,326.0,,,,1483.0,0.13149022252191503
55,5301080,Central Kitsap School District,Olympic High School,271.0,265.0,284.0,243.0,261.0,,,,1053.0,0.2573599240265907
56,5301080,Central Kitsap School District,Klahowya Secondary,154.0,137.0,143.0,126.0,139.0,,,,910.0,0.16923076923076924
57,5301110,Central Valley School District,Central Valley High School,499.0,610.0,571.0,566.0,538.0,,,,2285.0,0.21838074398249452
58,5301110,Central Valley School District,Mica Peak High School,61.0,15.0,20.0,53.0,52.0,,,,140.0,0.4357142857142857
59,5301110,Central Valley School District,University High School,493.0,424.0,415.0,401.0,381.0,,,,1621.0,0.3041332510795805
60,5301110,Central Valley School District,Stem Academy at SVT,32.0,47.0,49.0,35.0,42.0,,,,173.0,0.18497109826589594
61,5301140,Centralia School District,Centralia High School,694.0,252.0,257.0,215.0,222.0,,,,946.0,0.733615221987315
62,5301170,Chehalis School District,Green Hill Academic School,46.0,0.0,1.0,3.0,109.0,,,,113.0,0.40707964601769914
63,5301170,Chehalis School District,W F West High School,349.0,237.0,253.0,239.0,230.0,,,,959.0,0.36392075078206465
64,5301200,Lake Chelan School District,Chelan High School,232.0,106.0,100.0,113.0,105.0,,,,424.0,0.5471698113207547
65,5301230,Cheney School District,Cheney High School,572.0,371.0,348.0,332.0,333.0,,,,1384.0,0.41329479768786126
66,5301260,Chewelah School District,Jenkins Junior/Senior High,131.0,45.0,53.0,45.0,42.0,,,,259.0,0.5057915057915058
67,5301290,Chimacum School District,Chimacum Junior/Senior High School,145.0,50.0,44.0,57.0,60.0,,,,303.0,0.47854785478547857
68,5301320,Clarkston School District,Charles Francis Adams High School,421.0,227.0,205.0,194.0,189.0,,,,815.0,0.5165644171779141
69,5301350,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,78.0,63.0,56.0,62.0,51.0,,,,232.0,0.33620689655172414
70,5301410,Clover Park School District,Clover Park High School,1016.0,388.0,360.0,323.0,276.0,,,,1347.0,0.7542687453600594
