LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5301410,Clover Park School District,CPSD Open Doors Program,11,25.0,0.607
5301410,Clover Park School District,CPSD Open Doors Program,12,178.0,0.607
5301410,Clover Park School District,CPSD Open Doors Program,AE,,0.607
5301410,Clover Park School District,CPSD Open Doors Program,UG,,0.607
5301410,Clover Park School District,Clover Park High School,09,388.0,0.607
5301410,Clover Park School District,Clover Park High School,10,360.0,0.607
5301410,Clover Park School District,Clover Park High School,11,323.0,0.607
5301410,Clover Park School District,Clover Park High School,12,276.0,0.607
5301410,Clover Park School District,Clover Park High School,AE,,0.607
5301410,Clover Park School District,Clover Park High School,UG,,0.607
5301410,Clover Park School District,General William H. Harrison Preparatory School,09,110.0,0.607
5301410,Clover Park School District,General William H. Harrison Preparatory School,10,86.0,0.607
5301410,Clover Park School District,General William H. Harrison Preparatory School,11,65.0,0.607
5301410,Clover Park School District,General William H. Harrison Preparatory School,12,58.0,0.607
5301410,Clover Park School District,General William H. Harrison Preparatory School,AE,,0.607
5301410,Clover Park School District,General William H. Harrison Preparatory School,UG,,0.607
5301410,Clover Park School District,Lakes High School,09,334.0,0.607
5301410,Clover Park School District,Lakes High School,10,306.0,0.607
5301410,Clover Park School District,Lakes High School,11,310.0,0.607
5301410,Clover Park School District,Lakes High School,12,270.0,0.607
5301410,Clover Park School District,Lakes High School,AE,,0.607
5301410,Clover Park School District,Lakes High School,UG,,0.607
5301440,Colfax School District,Colfax High School,09,42.0,0.269
5301440,Colfax School District,Colfax High School,10,50.0,0.269
5301440,Colfax School District,Colfax High School,11,44.0,0.269
5301440,Colfax School District,Colfax High School,12,49.0,0.269
5301440,Colfax School District,Colfax High School,AE,,0.269
5301440,Colfax School District,Colfax High School,UG,,0.269
5301470,College Place School District,College Place High School,09,125.0,0.503
5301470,College Place School District,College Place High School,10,130.0,0.503
5301470,College Place School District,College Place High School,11,129.0,0.503
5301470,College Place School District,College Place High School,12,123.0,0.503
5301470,College Place School District,College Place High School,AE,,0.503
5301470,College Place School District,College Place High School,UG,,0.503
5301590,Columbia (Walla Walla) School District,Columbia High School,09,67.0,0.514
5301590,Columbia (Walla Walla) School District,Columbia High School,10,46.0,0.514
5301590,Columbia (Walla Walla) School District,Columbia High School,11,50.0,0.514
5301590,Columbia (Walla Walla) School District,Columbia High School,12,47.0,0.514
5301590,Columbia (Walla Walla) School District,Columbia High School,AE,,0.514
5301590,Columbia (Walla Walla) School District,Columbia High School,UG,,0.514
5301630,Colville School District,Colville Senior High School,09,118.0,0.422
5301630,Colville School District,Colville Senior High School,10,143.0,0.422
5301630,Colville School District,Colville Senior High School,11,135.0,0.422
5301630,Colville School District,Colville Senior High School,12,111.0,0.422
5301630,Colville School District,Colville Senior High School,AE,,0.422
5301630,Colville School District,Colville Senior High School,UG,,0.422
5301660,Concrete School District,Concrete High School,09,45.0,0.749
5301660,Concrete School District,Concrete High School,10,20.0,0.749
5301660,Concrete School District,Concrete High School,11,29.0,0.749
5301660,Concrete School District,Concrete High School,12,39.0,0.749
5301660,Concrete School District,Concrete High School,AE,,0.749
5301660,Concrete School District,Concrete High School,UG,,0.749
5301800,Coupeville School District,Coupeville High School,09,77.0,0.256
5301800,Coupeville School District,Coupeville High School,10,94.0,0.256
5301800,Coupeville School District,Coupeville High School,11,53.0,0.256
5301800,Coupeville School District,Coupeville High School,12,61.0,0.256
5301800,Coupeville School District,Coupeville High School,AE,,0.256
5301800,Coupeville School District,Coupeville High School,UG,,0.256
5301920,Cusick School District,Cusick Jr Sr High School,09,20.0,0.772
5301920,Cusick School District,Cusick Jr Sr High School,10,15.0,0.772
5301920,Cusick School District,Cusick Jr Sr High School,11,24.0,0.772
5301920,Cusick School District,Cusick Jr Sr High School,12,15.0,0.772
5301920,Cusick School District,Cusick Jr Sr High School,AE,,0.772
5301920,Cusick School District,Cusick Jr Sr High School,UG,,0.772
5301980,Darrington School District,Darrington High School,09,26.0,0.487
5301980,Darrington School District,Darrington High School,10,31.0,0.487
5301980,Darrington School District,Darrington High School,11,33.0,0.487
5301980,Darrington School District,Darrington High School,12,29.0,0.487
5301980,Darrington School District,Darrington High School,AE,,0.487
5301980,Darrington School District,Darrington High School,UG,,0.487
5302010,Davenport School District,Davenport Senior High School,09,43.0,0.421
5302010,Davenport School District,Davenport Senior High School,10,44.0,0.421
5302010,Davenport School District,Davenport Senior High School,11,45.0,0.421
5302010,Davenport School District,Davenport Senior High School,12,40.0,0.421
5302010,Davenport School District,Davenport Senior High School,AE,,0.421
5302010,Davenport School District,Davenport Senior High School,UG,,0.421
5302040,Dayton School District,Dayton High School,09,33.0,0.477
5302040,Dayton School District,Dayton High School,10,21.0,0.477
5302040,Dayton School District,Dayton High School,11,24.0,0.477
5302040,Dayton School District,Dayton High School,12,33.0,0.477
5302040,Dayton School District,Dayton High School,AE,,0.477
5302040,Dayton School District,Dayton High School,UG,,0.477
5302070,Deer Park School District,Deer Park High School,09,144.0,0.475
5302070,Deer Park School District,Deer Park High School,10,175.0,0.475
5302070,Deer Park School District,Deer Park High School,11,159.0,0.475
5302070,Deer Park School District,Deer Park High School,12,191.0,0.475
5302070,Deer Park School District,Deer Park High School,AE,,0.475
5302070,Deer Park School District,Deer Park High School,UG,,0.475
5302280,East Valley School District (Spokane),East Valley High School,09,199.0,0.458
5302280,East Valley School District (Spokane),East Valley High School,10,211.0,0.458
5302280,East Valley School District (Spokane),East Valley High School,11,206.0,0.458
5302280,East Valley School District (Spokane),East Valley High School,12,205.0,0.458
5302280,East Valley School District (Spokane),East Valley High School,AE,,0.458
5302280,East Valley School District (Spokane),East Valley High School,UG,,0.458
5302310,Eastmont School District,Eastmont Senior High,09,1.0,0.543
5302310,Eastmont School District,Eastmont Senior High,10,452.0,0.543
5302310,Eastmont School District,Eastmont Senior High,11,449.0,0.543
5302310,Eastmont School District,Eastmont Senior High,12,484.0,0.543
5302310,Eastmont School District,Eastmont Senior High,AE,,0.543
5302310,Eastmont School District,Eastmont Senior High,UG,,0.543
5302370,Eatonville School District,Eatonville High School,09,156.0,0.331
5302370,Eatonville School District,Eatonville High School,10,149.0,0.331
5302370,Eatonville School District,Eatonville High School,11,128.0,0.331
5302370,Eatonville School District,Eatonville High School,12,114.0,0.331
5302370,Eatonville School District,Eatonville High School,AE,,0.331
5302370,Eatonville School District,Eatonville High School,UG,,0.331
5302400,Edmonds School District,Edmonds Career Access Program,09,0.0,0.341
5302400,Edmonds School District,Edmonds Career Access Program,10,0.0,0.341
5302400,Edmonds School District,Edmonds Career Access Program,11,11.0,0.341
5302400,Edmonds School District,Edmonds Career Access Program,12,275.0,0.341
5302400,Edmonds School District,Edmonds Career Access Program,AE,,0.341
5302400,Edmonds School District,Edmonds Career Access Program,UG,,0.341
5302400,Edmonds School District,Edmonds Woodway High School,09,360.0,0.341
5302400,Edmonds School District,Edmonds Woodway High School,10,351.0,0.341
5302400,Edmonds School District,Edmonds Woodway High School,11,396.0,0.341
5302400,Edmonds School District,Edmonds Woodway High School,12,378.0,0.341
5302400,Edmonds School District,Edmonds Woodway High School,AE,,0.341
5302400,Edmonds School District,Edmonds Woodway High School,UG,,0.341
5302400,Edmonds School District,Edmonds eLearning Academy,09,19.0,0.341
5302400,Edmonds School District,Edmonds eLearning Academy,10,22.0,0.341
5302400,Edmonds School District,Edmonds eLearning Academy,11,33.0,0.341
5302400,Edmonds School District,Edmonds eLearning Academy,12,48.0,0.341
5302400,Edmonds School District,Edmonds eLearning Academy,AE,,0.341
5302400,Edmonds School District,Edmonds eLearning Academy,UG,,0.341
5302400,Edmonds School District,Lynnwood High School,09,340.0,0.341
5302400,Edmonds School District,Lynnwood High School,10,357.0,0.341
5302400,Edmonds School District,Lynnwood High School,11,376.0,0.341
5302400,Edmonds School District,Lynnwood High School,12,329.0,0.341
5302400,Edmonds School District,Lynnwood High School,AE,,0.341
5302400,Edmonds School District,Lynnwood High School,UG,,0.341
5302400,Edmonds School District,Meadowdale High School,09,393.0,0.341
5302400,Edmonds School District,Meadowdale High School,10,369.0,0.341
5302400,Edmonds School District,Meadowdale High School,11,368.0,0.341
5302400,Edmonds School District,Meadowdale High School,12,370.0,0.341
5302400,Edmonds School District,Meadowdale High School,AE,,0.341
5302400,Edmonds School District,Meadowdale High School,UG,,0.341
5302400,Edmonds School District,Mountlake Terrace High School,09,393.0,0.341
5302400,Edmonds School District,Mountlake Terrace High School,10,388.0,0.341
5302400,Edmonds School District,Mountlake Terrace High School,11,337.0,0.341
5302400,Edmonds School District,Mountlake Terrace High School,12,330.0,0.341
5302400,Edmonds School District,Mountlake Terrace High School,AE,,0.341
5302400,Edmonds School District,Mountlake Terrace High School,UG,,0.341
5302400,Edmonds School District,Scriber Lake High School,09,8.0,0.341
5302400,Edmonds School District,Scriber Lake High School,10,25.0,0.341
5302400,Edmonds School District,Scriber Lake High School,11,48.0,0.341
5302400,Edmonds School District,Scriber Lake High School,12,113.0,0.341
5302400,Edmonds School District,Scriber Lake High School,AE,,0.341
5302400,Edmonds School District,Scriber Lake High School,UG,,0.341
5302460,Ellensburg School District,Ellensburg High School,09,231.0,0.386
5302460,Ellensburg School District,Ellensburg High School,10,224.0,0.386
5302460,Ellensburg School District,Ellensburg High School,11,254.0,0.386
5302460,Ellensburg School District,Ellensburg High School,12,223.0,0.386
5302460,Ellensburg School District,Ellensburg High School,AE,,0.386
5302460,Ellensburg School District,Ellensburg High School,UG,,0.386
5302490,Elma School District,Elma High School,09,137.0,0.611
5302490,Elma School District,Elma High School,10,137.0,0.611
5302490,Elma School District,Elma High School,11,100.0,0.611
5302490,Elma School District,Elma High School,12,120.0,0.611
5302490,Elma School District,Elma High School,AE,,0.611
5302490,Elma School District,Elma High School,UG,,0.611
5302550,Entiat School District,Entiat Middle and High School,09,22.0,0.617
5302550,Entiat School District,Entiat Middle and High School,10,22.0,0.617
5302550,Entiat School District,Entiat Middle and High School,11,15.0,0.617
5302550,Entiat School District,Entiat Middle and High School,12,23.0,0.617
5302550,Entiat School District,Entiat Middle and High School,AE,,0.617
5302550,Entiat School District,Entiat Middle and High School,UG,,0.617
5302610,Ephrata School District,Ephrata High School,09,229.0,0.489
5302610,Ephrata School District,Ephrata High School,10,201.0,0.489
5302610,Ephrata School District,Ephrata High School,11,186.0,0.489
5302610,Ephrata School District,Ephrata High School,12,196.0,0.489
5302610,Ephrata School District,Ephrata High School,AE,,0.489
5302610,Ephrata School District,Ephrata High School,UG,,0.489
5302670,Everett School District,Cascade High School,09,449.0,0.401
5302670,Everett School District,Cascade High School,10,461.0,0.401
5302670,Everett School District,Cascade High School,11,480.0,0.401
5302670,Everett School District,Cascade High School,12,442.0,0.401
5302670,Everett School District,Cascade High School,AE,,0.401
5302670,Everett School District,Cascade High School,UG,,0.401
5302670,Everett School District,Everett High School,09,468.0,0.401
5302670,Everett School District,Everett High School,10,367.0,0.401
5302670,Everett School District,Everett High School,11,364.0,0.401
5302670,Everett School District,Everett High School,12,277.0,0.401
5302670,Everett School District,Everett High School,AE,,0.401
5302670,Everett School District,Everett High School,UG,,0.401
5302670,Everett School District,Everett Reengagement Academy,09,0.0,0.401
5302670,Everett School District,Everett Reengagement Academy,10,0.0,0.401
5302670,Everett School District,Everett Reengagement Academy,11,12.0,0.401
5302670,Everett School District,Everett Reengagement Academy,12,115.0,0.401
5302670,Everett School District,Everett Reengagement Academy,AE,,0.401
5302670,Everett School District,Everett Reengagement Academy,UG,,0.401
5302670,Everett School District,Henry M. Jackson High School,09,557.0,0.401
5302670,Everett School District,Henry M. Jackson High School,10,597.0,0.401
5302670,Everett School District,Henry M. Jackson High School,11,578.0,0.401
5302670,Everett School District,Henry M. Jackson High School,12,531.0,0.401
5302670,Everett School District,Henry M. Jackson High School,AE,,0.401
5302670,Everett School District,Henry M. Jackson High School,UG,,0.401
5302670,Everett School District,Sequoia High School,09,7.0,0.401
5302670,Everett School District,Sequoia High School,10,11.0,0.401
5302670,Everett School District,Sequoia High School,11,51.0,0.401
5302670,Everett School District,Sequoia High School,12,92.0,0.401
5302670,Everett School District,Sequoia High School,AE,,0.401
5302670,Everett School District,Sequoia High School,UG,,0.401
5302700,Evergreen School District (Clark),Evergreen High School,09,390.0,0.459
5302700,Evergreen School District (Clark),Evergreen High School,10,373.0,0.459
5302700,Evergreen School District (Clark),Evergreen High School,11,379.0,0.459
5302700,Evergreen School District (Clark),Evergreen High School,12,429.0,0.459
5302700,Evergreen School District (Clark),Evergreen High School,AE,,0.459
5302700,Evergreen School District (Clark),Evergreen High School,UG,,0.459
5302700,Evergreen School District (Clark),Henrietta Lacks Health and Bioscience High School,09,165.0,0.459
5302700,Evergreen School District (Clark),Henrietta Lacks Health and Bioscience High School,10,164.0,0.459
5302700,Evergreen School District (Clark),Henrietta Lacks Health and Bioscience High School,11,120.0,0.459
5302700,Evergreen School District (Clark),Henrietta Lacks Health and Bioscience High School,12,101.0,0.459
5302700,Evergreen School District (Clark),Henrietta Lacks Health and Bioscience High School,AE,,0.459
5302700,Evergreen School District (Clark),Henrietta Lacks Health and Bioscience High School,UG,,0.459
5302700,Evergreen School District (Clark),Heritage High School,09,442.0,0.459
5302700,Evergreen School District (Clark),Heritage High School,10,455.0,0.459
5302700,Evergreen School District (Clark),Heritage High School,11,425.0,0.459
5302700,Evergreen School District (Clark),Heritage High School,12,393.0,0.459
5302700,Evergreen School District (Clark),Heritage High School,AE,,0.459
5302700,Evergreen School District (Clark),Heritage High School,UG,,0.459
5302700,Evergreen School District (Clark),Legacy High School,09,23.0,0.459
5302700,Evergreen School District (Clark),Legacy High School,10,36.0,0.459
5302700,Evergreen School District (Clark),Legacy High School,11,55.0,0.459
5302700,Evergreen School District (Clark),Legacy High School,12,69.0,0.459
5302700,Evergreen School District (Clark),Legacy High School,AE,,0.459
5302700,Evergreen School District (Clark),Legacy High School,UG,,0.459
5302700,Evergreen School District (Clark),Mountain View High School,09,433.0,0.459
5302700,Evergreen School District (Clark),Mountain View High School,10,406.0,0.459
5302700,Evergreen School District (Clark),Mountain View High School,11,400.0,0.459
5302700,Evergreen School District (Clark),Mountain View High School,12,430.0,0.459
5302700,Evergreen School District (Clark),Mountain View High School,AE,,0.459
5302700,Evergreen School District (Clark),Mountain View High School,UG,,0.459
5302700,Evergreen School District (Clark),Open Doors Evergreen,09,0.0,0.459
5302700,Evergreen School District (Clark),Open Doors Evergreen,10,1.0,0.459
5302700,Evergreen School District (Clark),Open Doors Evergreen,11,6.0,0.459
5302700,Evergreen School District (Clark),Open Doors Evergreen,12,118.0,0.459
5302700,Evergreen School District (Clark),Open Doors Evergreen,AE,,0.459
5302700,Evergreen School District (Clark),Open Doors Evergreen,UG,,0.459
5302700,Evergreen School District (Clark),Union High School,09,494.0,0.459
5302700,Evergreen School District (Clark),Union High School,10,504.0,0.459
5302700,Evergreen School District (Clark),Union High School,11,541.0,0.459
5302700,Evergreen School District (Clark),Union High School,12,517.0,0.459
5302700,Evergreen School District (Clark),Union High School,AE,,0.459
5302700,Evergreen School District (Clark),Union High School,UG,,0.459
5302820,Federal Way School District,Decatur High School,09,372.0,0.601
5302820,Federal Way School District,Decatur High School,10,308.0,0.601
5302820,Federal Way School District,Decatur High School,11,362.0,0.601
5302820,Federal Way School District,Decatur High School,12,343.0,0.601
5302820,Federal Way School District,Decatur High School,AE,,0.601
5302820,Federal Way School District,Decatur High School,UG,,0.601
5302820,Federal Way School District,Federal Way High School,09,416.0,0.601
5302820,Federal Way School District,Federal Way High School,10,420.0,0.601
5302820,Federal Way School District,Federal Way High School,11,413.0,0.601
5302820,Federal Way School District,Federal Way High School,12,383.0,0.601
5302820,Federal Way School District,Federal Way High School,AE,,0.601
5302820,Federal Way School District,Federal Way High School,UG,,0.601
5302820,Federal Way School District,Open Doors Youth Reengagement (1418),09,0.0,0.601
5302820,Federal Way School District,Open Doors Youth Reengagement (1418),10,0.0,0.601
5302820,Federal Way School District,Open Doors Youth Reengagement (1418),11,7.0,0.601
5302820,Federal Way School District,Open Doors Youth Reengagement (1418),12,138.0,0.601
5302820,Federal Way School District,Open Doors Youth Reengagement (1418),AE,,0.601
5302820,Federal Way School District,Open Doors Youth Reengagement (1418),UG,,0.601
5302820,Federal Way School District,Technology Access Foundation Academy at Saghalie,09,34.0,0.601
5302820,Federal Way School District,Technology Access Foundation Academy at Saghalie,10,52.0,0.601
5302820,Federal Way School District,Technology Access Foundation Academy at Saghalie,11,32.0,0.601
5302820,Federal Way School District,Technology Access Foundation Academy at Saghalie,12,32.0,0.601
5302820,Federal Way School District,Technology Access Foundation Academy at Saghalie,AE,,0.601
5302820,Federal Way School District,Technology Access Foundation Academy at Saghalie,UG,,0.601
5302820,Federal Way School District,Thomas Jefferson High School,09,431.0,0.601
5302820,Federal Way School District,Thomas Jefferson High School,10,416.0,0.601
5302820,Federal Way School District,Thomas Jefferson High School,11,432.0,0.601
5302820,Federal Way School District,Thomas Jefferson High School,12,416.0,0.601
5302820,Federal Way School District,Thomas Jefferson High School,AE,,0.601
5302820,Federal Way School District,Thomas Jefferson High School,UG,,0.601
5302820,Federal Way School District,Todd Beamer High School,09,372.0,0.601
5302820,Federal Way School District,Todd Beamer High School,10,333.0,0.601
5302820,Federal Way School District,Todd Beamer High School,11,352.0,0.601
5302820,Federal Way School District,Todd Beamer High School,12,359.0,0.601
5302820,Federal Way School District,Todd Beamer High School,AE,,0.601
5302820,Federal Way School District,Todd Beamer High School,UG,,0.601
5302850,Ferndale School District,Ferndale High School,09,321.0,0.412
5302850,Ferndale School District,Ferndale High School,10,343.0,0.412
5302850,Ferndale School District,Ferndale High School,11,340.0,0.412
5302850,Ferndale School District,Ferndale High School,12,338.0,0.412
5302850,Ferndale School District,Ferndale High School,AE,,0.412
5302850,Ferndale School District,Ferndale High School,UG,,0.412
5302880,Fife School District,Fife High School,09,,0.434
5302880,Fife School District,Fife High School,10,272.0,0.434
5302880,Fife School District,Fife High School,11,279.0,0.434
5302880,Fife School District,Fife High School,12,301.0,0.434
5302880,Fife School District,Fife High School,AE,,0.434
5302880,Fife School District,Fife High School,UG,,0.434
5302910,Finley School District,River View High School,09,71.0,0.738
5302910,Finley School District,River View High School,10,80.0,0.738
5302910,Finley School District,River View High School,11,64.0,0.738
5302910,Finley School District,River View High School,12,86.0,0.738
5302910,Finley School District,River View High School,AE,,0.738
5302910,Finley School District,River View High School,UG,,0.738
5302940,Franklin Pierce School District,Franklin Pierce High School,09,338.0,0.628
5302940,Franklin Pierce School District,Franklin Pierce High School,10,298.0,0.628
5302940,Franklin Pierce School District,Franklin Pierce High School,11,275.0,0.628
5302940,Franklin Pierce School District,Franklin Pierce High School,12,280.0,0.628
5302940,Franklin Pierce School District,Franklin Pierce High School,AE,,0.628
5302940,Franklin Pierce School District,Franklin Pierce High School,UG,,0.628
5302940,Franklin Pierce School District,Washington High School,09,301.0,0.628
5302940,Franklin Pierce School District,Washington High School,10,252.0,0.628
5302940,Franklin Pierce School District,Washington High School,11,213.0,0.628
5302940,Franklin Pierce School District,Washington High School,12,208.0,0.628
5302940,Franklin Pierce School District,Washington High School,AE,,0.628
5302940,Franklin Pierce School District,Washington High School,UG,,0.628
5302970,Freeman School District,Freeman High School,09,71.0,0.182
5302970,Freeman School District,Freeman High School,10,77.0,0.182
5302970,Freeman School District,Freeman High School,11,71.0,0.182
5302970,Freeman School District,Freeman High School,12,94.0,0.182
5302970,Freeman School District,Freeman High School,AE,,0.182
5302970,Freeman School District,Freeman High School,UG,,0.182
5303090,Goldendale School District,Goldendale High School,09,88.0,0.526
5303090,Goldendale School District,Goldendale High School,10,69.0,0.526
5303090,Goldendale School District,Goldendale High School,11,60.0,0.526
5303090,Goldendale School District,Goldendale High School,12,68.0,0.526
5303090,Goldendale School District,Goldendale High School,AE,,0.526
5303090,Goldendale School District,Goldendale High School,UG,,0.526
5303130,Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,09,65.0,0.685
5303130,Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,10,48.0,0.685
5303130,Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,11,52.0,0.685
5303130,Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,12,56.0,0.685
5303130,Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,AE,,0.685
5303130,Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,UG,,0.685
5303150,Grandview School District,Grandview High School,09,301.0,0.813
5303150,Grandview School District,Grandview High School,10,253.0,0.813
5303150,Grandview School District,Grandview High School,11,259.0,0.813
5303150,Grandview School District,Grandview High School,12,233.0,0.813
5303150,Grandview School District,Grandview High School,AE,,0.813
5303150,Grandview School District,Grandview High School,UG,,0.813
5303180,Granger School District,Granger High School,09,112.0,0.847
5303180,Granger School District,Granger High School,10,126.0,0.847
5303180,Granger School District,Granger High School,11,115.0,0.847
5303180,Granger School District,Granger High School,12,98.0,0.847
5303180,Granger School District,Granger High School,AE,,0.847
5303180,Granger School District,Granger High School,UG,,0.847
5303210,Granite Falls School District,Crossroads High School,09,8.0,0.415
5303210,Granite Falls School District,Crossroads High School,10,18.0,0.415
5303210,Granite Falls School District,Crossroads High School,11,34.0,0.415
5303210,Granite Falls School District,Crossroads High School,12,62.0,0.415
5303210,Granite Falls School District,Crossroads High School,AE,,0.415
5303210,Granite Falls School District,Crossroads High School,UG,,0.415
5303210,Granite Falls School District,Granite Falls High School,09,151.0,0.415
5303210,Granite Falls School District,Granite Falls High School,10,108.0,0.415
5303210,Granite Falls School District,Granite Falls High School,11,137.0,0.415
5303210,Granite Falls School District,Granite Falls High School,12,111.0,0.415
5303210,Granite Falls School District,Granite Falls High School,AE,,0.415
5303210,Granite Falls School District,Granite Falls High School,UG,,0.415
5303510,Highland School District,Highland High School,09,97.0,0.806
5303510,Highland School District,Highland High School,10,91.0,0.806
5303510,Highland School District,Highland High School,11,99.0,0.806
5303510,Highland School District,Highland High School,12,73.0,0.806
5303510,Highland School District,Highland High School,AE,,0.806
5303510,Highland School District,Highland High School,UG,,0.806
5303540,Highline School District,Big Picture School,09,36.0,0.638
5303540,Highline School District,Big Picture School,10,31.0,0.638
5303540,Highline School District,Big Picture School,11,26.0,0.638
5303540,Highline School District,Big Picture School,12,21.0,0.638
5303540,Highline School District,Big Picture School,AE,,0.638
5303540,Highline School District,Big Picture School,UG,,0.638
5303540,Highline School District,CHOICE Academy,09,28.0,0.638
5303540,Highline School District,CHOICE Academy,10,28.0,0.638
5303540,Highline School District,CHOICE Academy,11,28.0,0.638
5303540,Highline School District,CHOICE Academy,12,26.0,0.638
5303540,Highline School District,CHOICE Academy,AE,,0.638
5303540,Highline School District,CHOICE Academy,UG,,0.638
5303540,Highline School District,Evergreen High School,09,275.0,0.638
5303540,Highline School District,Evergreen High School,10,265.0,0.638
5303540,Highline School District,Evergreen High School,11,257.0,0.638
5303540,Highline School District,Evergreen High School,12,276.0,0.638
5303540,Highline School District,Evergreen High School,AE,,0.638
5303540,Highline School District,Evergreen High School,UG,,0.638
5303540,Highline School District,Highline High School,09,294.0,0.638
5303540,Highline School District,Highline High School,10,251.0,0.638
5303540,Highline School District,Highline High School,11,235.0,0.638
5303540,Highline School District,Highline High School,12,257.0,0.638
5303540,Highline School District,Highline High School,AE,,0.638
5303540,Highline School District,Highline High School,UG,,0.638
5303540,Highline School District,Highline Open Doors 1418,09,1.0,0.638
5303540,Highline School District,Highline Open Doors 1418,10,4.0,0.638
5303540,Highline School District,Highline Open Doors 1418,11,15.0,0.638
5303540,Highline School District,Highline Open Doors 1418,12,270.0,0.638
5303540,Highline School District,Highline Open Doors 1418,AE,,0.638
5303540,Highline School District,Highline Open Doors 1418,UG,,0.638
5303540,Highline School District,Mount Rainier High School,09,438.0,0.638
5303540,Highline School District,Mount Rainier High School,10,494.0,0.638
5303540,Highline School District,Mount Rainier High School,11,429.0,0.638
5303540,Highline School District,Mount Rainier High School,12,406.0,0.638
5303540,Highline School District,Mount Rainier High School,AE,,0.638
5303540,Highline School District,Mount Rainier High School,UG,,0.638
5303540,Highline School District,New Start,09,2.0,0.638
5303540,Highline School District,New Start,10,17.0,0.638
5303540,Highline School District,New Start,11,34.0,0.638
5303540,Highline School District,New Start,12,106.0,0.638
5303540,Highline School District,New Start,AE,,0.638
5303540,Highline School District,New Start,UG,,0.638
5303540,Highline School District,Raisbeck Aviation High School,09,104.0,0.638
5303540,Highline School District,Raisbeck Aviation High School,10,104.0,0.638
5303540,Highline School District,Raisbeck Aviation High School,11,103.0,0.638
5303540,Highline School District,Raisbeck Aviation High School,12,99.0,0.638
5303540,Highline School District,Raisbeck Aviation High School,AE,,0.638
5303540,Highline School District,Raisbeck Aviation High School,UG,,0.638
5303540,Highline School District,Tyee High School,09,186.0,0.638
5303540,Highline School District,Tyee High School,10,203.0,0.638
5303540,Highline School District,Tyee High School,11,201.0,0.638
5303540,Highline School District,Tyee High School,12,244.0,0.638
5303540,Highline School District,Tyee High School,AE,,0.638
5303540,Highline School District,Tyee High School,UG,,0.638
5303570,Hockinson School District,Hockinson High School,09,167.0,0.161
5303570,Hockinson School District,Hockinson High School,10,165.0,0.161
5303570,Hockinson School District,Hockinson High School,11,169.0,0.161
5303570,Hockinson School District,Hockinson High School,12,159.0,0.161
5303570,Hockinson School District,Hockinson High School,AE,,0.161
5303570,Hockinson School District,Hockinson High School,UG,,0.161
5303660,Hoquiam School District,Hoquiam High School,09,118.0,0.615
5303660,Hoquiam School District,Hoquiam High School,10,115.0,0.615
5303660,Hoquiam School District,Hoquiam High School,11,108.0,0.615
5303660,Hoquiam School District,Hoquiam High School,12,106.0,0.615
5303660,Hoquiam School District,Hoquiam High School,AE,,0.615
5303660,Hoquiam School District,Hoquiam High School,UG,,0.615
5303750,Issaquah School District,Gibson Ek High School,09,45.0,0.076
5303750,Issaquah School District,Gibson Ek High School,10,39.0,0.076
5303750,Issaquah School District,Gibson Ek High School,11,37.0,0.076
5303750,Issaquah School District,Gibson Ek High School,12,41.0,0.076
5303750,Issaquah School District,Gibson Ek High School,AE,,0.076
5303750,Issaquah School District,Gibson Ek High School,UG,,0.076
5303750,Issaquah School District,Issaquah High School,09,640.0,0.076
5303750,Issaquah School District,Issaquah High School,10,635.0,0.076
5303750,Issaquah School District,Issaquah High School,11,614.0,0.076
5303750,Issaquah School District,Issaquah High School,12,615.0,0.076
5303750,Issaquah School District,Issaquah High School,AE,,0.076
5303750,Issaquah School District,Issaquah High School,UG,,0.076
5303750,Issaquah School District,Liberty Sr High School,09,402.0,0.076
5303750,Issaquah School District,Liberty Sr High School,10,345.0,0.076
5303750,Issaquah School District,Liberty Sr High School,11,369.0,0.076
5303750,Issaquah School District,Liberty Sr High School,12,393.0,0.076
5303750,Issaquah School District,Liberty Sr High School,AE,,0.076
5303750,Issaquah School District,Liberty Sr High School,UG,,0.076
5303750,Issaquah School District,Skyline High School,09,540.0,0.076
5303750,Issaquah School District,Skyline High School,10,571.0,0.076
5303750,Issaquah School District,Skyline High School,11,552.0,0.076
5303750,Issaquah School District,Skyline High School,12,539.0,0.076
5303750,Issaquah School District,Skyline High School,AE,,0.076
5303750,Issaquah School District,Skyline High School,UG,,0.076
5303810,Kalama School District,Kalama High School,09,87.0,0.283
5303810,Kalama School District,Kalama High School,10,84.0,0.283
5303810,Kalama School District,Kalama High School,11,76.0,0.283
5303810,Kalama School District,Kalama High School,12,85.0,0.283
5303810,Kalama School District,Kalama High School,AE,,0.283
5303810,Kalama School District,Kalama High School,UG,,0.283
5303930,Kennewick School District,Kamiakin High School,09,499.0,0.535
5303930,Kennewick School District,Kamiakin High School,10,473.0,0.535
5303930,Kennewick School District,Kamiakin High School,11,419.0,0.535
