LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5300313,Lake Washington Institute of Technology,Open Doors at LWIT,09,,0.0
5300313,Lake Washington Institute of Technology,Open Doors at LWIT,10,,0.0
5300313,Lake Washington Institute of Technology,Open Doors at LWIT,11,0.0,0.0
5300313,Lake Washington Institute of Technology,Open Doors at LWIT,12,440.0,0.0
5300313,Lake Washington Institute of Technology,Open Doors at LWIT,AE,,0.0
5300313,Lake Washington Institute of Technology,Open Doors at LWIT,UG,,0.0
5300330,Bainbridge Island School District,Bainbridge High School,09,294.0,0.084
5300330,Bainbridge Island School District,Bainbridge High School,10,315.0,0.084
5300330,Bainbridge Island School District,Bainbridge High School,11,348.0,0.084
5300330,Bainbridge Island School District,Bainbridge High School,12,351.0,0.084
5300330,Bainbridge Island School District,Bainbridge High School,AE,,0.084
5300330,Bainbridge Island School District,Bainbridge High School,UG,,0.084
5300330,Bainbridge Island School District,Eagle Harbor High School,09,24.0,0.084
5300330,Bainbridge Island School District,Eagle Harbor High School,10,21.0,0.084
5300330,Bainbridge Island School District,Eagle Harbor High School,11,25.0,0.084
5300330,Bainbridge Island School District,Eagle Harbor High School,12,34.0,0.084
5300330,Bainbridge Island School District,Eagle Harbor High School,AE,,0.084
5300330,Bainbridge Island School District,Eagle Harbor High School,UG,,0.084
5300333,Summit Public School: Olympus,Summit Public School: Olympus,09,61.0,0.557
5300333,Summit Public School: Olympus,Summit Public School: Olympus,10,61.0,0.557
5300333,Summit Public School: Olympus,Summit Public School: Olympus,11,41.0,0.557
5300333,Summit Public School: Olympus,Summit Public School: Olympus,12,31.0,0.557
5300333,Summit Public School: Olympus,Summit Public School: Olympus,AE,,0.557
5300333,Summit Public School: Olympus,Summit Public School: Olympus,UG,,0.557
5300334,Summit Public School: Sierra,Summit Public School: Sierra,09,86.0,0.321
5300334,Summit Public School: Sierra,Summit Public School: Sierra,10,95.0,0.321
5300334,Summit Public School: Sierra,Summit Public School: Sierra,11,92.0,0.321
5300334,Summit Public School: Sierra,Summit Public School: Sierra,12,92.0,0.321
5300334,Summit Public School: Sierra,Summit Public School: Sierra,AE,,0.321
5300334,Summit Public School: Sierra,Summit Public School: Sierra,UG,,0.321
5300339,PRIDE Prep Charter School District,PRIDE Prep School,09,112.0,0.577
5300339,PRIDE Prep Charter School District,PRIDE Prep School,10,94.0,0.577
5300339,PRIDE Prep Charter School District,PRIDE Prep School,11,89.0,0.577
5300339,PRIDE Prep Charter School District,PRIDE Prep School,12,78.0,0.577
5300339,PRIDE Prep Charter School District,PRIDE Prep School,AE,,0.577
5300339,PRIDE Prep Charter School District,PRIDE Prep School,UG,,0.577
5300343,Summit Public School: Atlas,Summit Public School: Atlas,09,88.0,0.43
5300343,Summit Public School: Atlas,Summit Public School: Atlas,10,43.0,0.43
5300343,Summit Public School: Atlas,Summit Public School: Atlas,11,38.0,0.43
5300343,Summit Public School: Atlas,Summit Public School: Atlas,12,33.0,0.43
5300343,Summit Public School: Atlas,Summit Public School: Atlas,AE,,0.43
5300343,Summit Public School: Atlas,Summit Public School: Atlas,UG,,0.43
5300380,Battle Ground School District,Battle Ground High School,09,429.0,0.301
5300380,Battle Ground School District,Battle Ground High School,10,410.0,0.301
5300380,Battle Ground School District,Battle Ground High School,11,369.0,0.301
5300380,Battle Ground School District,Battle Ground High School,12,378.0,0.301
5300380,Battle Ground School District,Battle Ground High School,AE,,0.301
5300380,Battle Ground School District,Battle Ground High School,UG,,0.301
5300380,Battle Ground School District,Prairie High School,09,402.0,0.301
5300380,Battle Ground School District,Prairie High School,10,369.0,0.301
5300380,Battle Ground School District,Prairie High School,11,360.0,0.301
5300380,Battle Ground School District,Prairie High School,12,374.0,0.301
5300380,Battle Ground School District,Prairie High School,AE,,0.301
5300380,Battle Ground School District,Prairie High School,UG,,0.301
5300380,Battle Ground School District,Summit View High School,09,16.0,0.301
5300380,Battle Ground School District,Summit View High School,10,50.0,0.301
5300380,Battle Ground School District,Summit View High School,11,80.0,0.301
5300380,Battle Ground School District,Summit View High School,12,247.0,0.301
5300380,Battle Ground School District,Summit View High School,AE,,0.301
5300380,Battle Ground School District,Summit View High School,UG,,0.301
5300390,Bellevue School District,Bellevue Big Picture School,09,66.0,0.149
5300390,Bellevue School District,Bellevue Big Picture School,10,26.0,0.149
5300390,Bellevue School District,Bellevue Big Picture School,11,27.0,0.149
5300390,Bellevue School District,Bellevue Big Picture School,12,30.0,0.149
5300390,Bellevue School District,Bellevue Big Picture School,AE,,0.149
5300390,Bellevue School District,Bellevue Big Picture School,UG,,0.149
5300390,Bellevue School District,Bellevue High School,09,362.0,0.149
5300390,Bellevue School District,Bellevue High School,10,371.0,0.149
5300390,Bellevue School District,Bellevue High School,11,437.0,0.149
5300390,Bellevue School District,Bellevue High School,12,356.0,0.149
5300390,Bellevue School District,Bellevue High School,AE,,0.149
5300390,Bellevue School District,Bellevue High School,UG,,0.149
5300390,Bellevue School District,Interlake Senior High School,09,389.0,0.149
5300390,Bellevue School District,Interlake Senior High School,10,382.0,0.149
5300390,Bellevue School District,Interlake Senior High School,11,444.0,0.149
5300390,Bellevue School District,Interlake Senior High School,12,439.0,0.149
5300390,Bellevue School District,Interlake Senior High School,AE,,0.149
5300390,Bellevue School District,Interlake Senior High School,UG,,0.149
5300390,Bellevue School District,International School,09,90.0,0.149
5300390,Bellevue School District,International School,10,88.0,0.149
5300390,Bellevue School District,International School,11,68.0,0.149
5300390,Bellevue School District,International School,12,74.0,0.149
5300390,Bellevue School District,International School,AE,,0.149
